"PlummWeather"
"11/1/22 12:00 AM : 1 Month"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors","Vantage Pro2 Plus /w 24-hr-Fan-Aspirated Radiation shield, UV & Solar Radiation Sensors"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date & Time","Barometer - mb","Inside Temp - °F","Inside Hum - %","Inside Dew Point - °F","Inside Heat Index - °F","Inside EMC","Temp - °F","High Temp - °F","Low Temp - °F","Hum - %","Dew Point - °F","Wet Bulb - °F","Wind Speed - mph","Wind Direction","Wind Run - mi","High Wind Speed - mph","High Wind Direction","Wind Chill - °F","Heat Index - °F","THW Index - °F","THSW Index - °F","Rain - in","Rain Rate - in/h","Solar Rad - W/m^2","Solar Energy - Ly","High Solar Rad - W/m^2","ET - in","UV Index","UV Dose - MEDs","High UV Index","Heating Degree Days","Cooling Degree Days"
"11/1/22 12:00 AM","1017.6","73","45","51","73","8.4","61","61","61","96","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 12:05 AM","1017.6","73","45","51","72","8.4","61","61","61","96","60","60","0","","0.0","0","","61","62","62","60","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 12:10 AM","1017.4","73","45","51","72","8.4","61","61","61","96","60","60","0","","0.0","0","","61","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 12:15 AM","1017.4","73","45","51","72","8.4","61","61","61","96","60","60","0","","0.0","0","","61","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 12:20 AM","1017.4","73","45","51","72","8.4","61","61","61","96","59","60","0","","0.0","0","","61","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 12:25 AM","1017.5","73","45","51","72","8.4","61","61","61","96","59","60","0","","0.0","1","SSW","61","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
"11/1/22 12:30 AM","1017.4","73","45","51","72","8.4","61","61","60","96","59","60","0","","0.0","0","","61","61","61","59","0.00","0.00","0","0.00","0","0.00","0","0.0","0","0.015","0.000"
